Zaman damgası,Onaylıyor musunuz?,Yaşınız?,Cinsiyetiniz?,"Renklerin kokusu olsa, sizi en iyi yansıtan renk hangisi olurdu?","Bir ortama girdiğinde nasıl ""tanınmak"" istersiniz ? ",Hangi koku ailesi size daha yakın?,"Sıklıkla kullandığınız bir parfüm var mı, varsa ismi nedir? ",Kullandığınız parfümden ne kadar memnunsunuz?,Nasıl bir cilt tipine sahipsiniz?,Hangi tür parfümleri tercih edersiniz?,İdeal parfümünüzün yoğunluğu nasıl olmalı?,Günün hangi zamanlarında parfüm kullanma ihtimalin daha yüksek?,Bir parfümde hangisi sizin için daha önemli?”,Geçmişteki herhangi bir anınızla bağdaştırdığınız bir kokudan kısaca bahseder misiniz?  Bu koku nedir?,"Kokuyla bağdaştırdığınız anınızı kısaca anlatabilir misiniz? 

(örnek: Maya kokusu, bana annemin hazırladığı o şirin ekmekleri hatırlatır)",Bu anıyı düşündüğünüzde hangi duyguyu daha baskın hissediyorsunuz?,Duygunuzun baskınlık seviyesi nedir?
13.02.2026 20:27:06,"Okudum, onaylıyorum",21,Erkek,Mavi,Doğal ve Duru,"Woody Amber (Odunsu Amber): Köz, Reçine, Amber",Angels share,3,Karma,"Eau de Toilette (EDT):Gündelik kullanıma ve dört mevsime uygun , hafif yoğunluğuyla özellikle yaz aylarında ferah hissettirir.",Orta: Yanımdan geçenler hafif bir esinti duysun ama kimseyi rahatsız etmesin.,Sabah güne başlarken (Günlük / İş / Okul),İçerik kalitesi,Odunsu kokular geçmişi ve ferahlığı anımsatıyor,Çoçukluğumda yaşadığım yeri hatırlatıyor,Huzur ve Güven,3
13.02.2026 20:27:57,"Okudum, onaylıyorum",19,Erkek,Krem ve kırmızı,Güçlü ve Otoriter,"Woody Amber (Odunsu Amber): Köz, Reçine, Amber",Armani you,4,Hassas,"Eau de Toilette (EDT):Gündelik kullanıma ve dört mevsime uygun , hafif yoğunluğuyla özellikle yaz aylarında ferah hissettirir.",İz Bırakan: Ben odadan çıktıktan sonra bile kokum orada kalsın.,"Fark etmez, benim kokum her an benimledir",İçerik kalitesi,.,.,Tutku ve Heyecan,4
13.02.2026 20:31:51,"Okudum, onaylıyorum",60,Erkek,Açıkmavi,Doğal ve Duru,"Citrus (Narenciye): Limon kabuğu, Yeşil elma",Fahrenayt,4,Normal,"Eau de Toilette (EDT):Gündelik kullanıma ve dört mevsime uygun , hafif yoğunluğuyla özellikle yaz aylarında ferah hissettirir.","Tene Yakın: Çok hafif olsun, sadece ben ve bana sarılanlar duysun.","Fark etmez, benim kokum her an benimledir",İçerik kalitesi,Freş kokular,Sahilde hissediyorum,Neşe ve Enerji,4
13.02.2026 20:38:33,"Okudum, onaylıyorum",22,Erkek,Siyah,Güçlü ve Otoriter,"Soft Amber (Yumuşak Amber): Çikolata, Vanilya",Yok değişiyor ,5,Normal,"Eau de Toilette (EDT):Gündelik kullanıma ve dört mevsime uygun , hafif yoğunluğuyla özellikle yaz aylarında ferah hissettirir.",Orta: Yanımdan geçenler hafif bir esinti duysun ama kimseyi rahatsız etmesin.,Sabah güne başlarken (Günlük / İş / Okul),İçerik kalitesi,Bir koku var ama hatırlamıyorum ,.,Özlem ve Nostalji,4
13.02.2026 22:57:01,"Okudum, onaylıyorum",20,Kadın,bordo,Güçlü ve Otoriter,"Soft Floral (Yumuşak Çiçeksi): Menekşe, gül",ysl libre,3,Karma,Eau de Parfum (EDP): Yoğun ve kalıcılığı yüksek olduğu için özellikle gece veya soğuk aylarda tercih edilir.,Orta: Yanımdan geçenler hafif bir esinti duysun ama kimseyi rahatsız etmesin.,Sabah güne başlarken (Günlük / İş / Okul),Ulaşılabilir fiyat,annannemin evinin kokusu,direkt evleri ve evlerindeki anılarımız,Özlem ve Nostalji,5
13.02.2026 23:04:43,"Okudum, onaylıyorum",20,Kadın,Bordo ve Yeşil,Doğal ve Duru,"Green (Yeşil): Çimen, Nane",Yves Rocher Naturelle ,5,Hassas,"Eau de Toilette (EDT):Gündelik kullanıma ve dört mevsime uygun , hafif yoğunluğuyla özellikle yaz aylarında ferah hissettirir.",Orta: Yanımdan geçenler hafif bir esinti duysun ama kimseyi rahatsız etmesin.,Sabah güne başlarken (Günlük / İş / Okul),İçerik kalitesi,Haşlanmış Tavuk Pilav kokusu direkt yemek kokusu diyebilirim,Haşlanmış Tavuk kokusu bana anneannemin eskiden hazırladığı yemekleri hatırlatıyor ,Özlem ve Nostalji,5
13.02.2026 23:20:47,"Okudum, onaylıyorum",38,Kadın,Turkuaz,Gizemli ve Çekici,"Soft Floral (Yumuşak Çiçeksi): Menekşe, gül",Armani Code,5,Kuru,Eau de Parfum (EDP): Yoğun ve kalıcılığı yüksek olduğu için özellikle gece veya soğuk aylarda tercih edilir.,Güçlü: Bir odaya girdiğimde kokum hemen fark edilsin.,Sabah güne başlarken (Günlük / İş / Okul),İçerik kalitesi,Silgi kokusu ,Okula başladığım yılı ve okulu hatırlıyorum ,Tutku ve Heyecan,5
14.02.2026 05:55:09,"Okudum, onaylıyorum",21,Erkek,kahverengi,Doğal ve Duru,"Soft Amber (Yumuşak Amber): Çikolata, Vanilya",yok,2,Karma,"Eau de Toilette (EDT):Gündelik kullanıma ve dört mevsime uygun , hafif yoğunluğuyla özellikle yaz aylarında ferah hissettirir.","Tene Yakın: Çok hafif olsun, sadece ben ve bana sarılanlar duysun.",Tazelenmek istediğim her an (Spor sonrası veya gün içi),Ulaşılabilir fiyat,yok,yok,Masumiyet ve Tazelik,3
17.02.2026 15:20:05,"Okudum, onaylıyorum",19,Erkek,siyah,Zarif ve Romantik,Water (Sucul): Deniz tuzu,bargello 709,4,Karma,"Eau de Toilette (EDT):Gündelik kullanıma ve dört mevsime uygun , hafif yoğunluğuyla özellikle yaz aylarında ferah hissettirir.",Güçlü: Bir odaya girdiğimde kokum hemen fark edilsin.,Tazelenmek istediğim her an (Spor sonrası veya gün içi),İçerik kalitesi,bargello 709 bana yaz mevsimin verdiği güzel havayı hatırlatıyor,çayın kokusu güzel sohbetleri anımsatır,Neşe ve Enerji,3
17.02.2026 15:34:59,"Okudum, onaylıyorum",19,Erkek,Hasan Selim kirac,Güçlü ve Otoriter,"Dry Woods (Kuru Odunsu): Sedir ağac, Tütsü",Yok,1,Normal,"Eau de Cologne (EDC):Yoğun kokulara hassasiyeti olanlar için uygun, gün içinde sıkça tazelenebilen en hafif seçenektir.",Orta: Yanımdan geçenler hafif bir esinti duysun ama kimseyi rahatsız etmesin.,"Fark etmez, benim kokum her an benimledir",Refill imkanı,Nedie,Yok,Huzur ve Güven,3
17.02.2026 15:38:53,"Okudum, onaylıyorum",15,Kadın,Bej,Zarif ve Romantik,"Soft Amber (Yumuşak Amber): Çikolata, Vanilya",Paco rabanne fame,4,Karma,Eau de Parfum (EDP): Yoğun ve kalıcılığı yüksek olduğu için özellikle gece veya soğuk aylarda tercih edilir.,Güçlü: Bir odaya girdiğimde kokum hemen fark edilsin.,Sabah güne başlarken (Günlük / İş / Okul),Marka prestiji,Vanilyalı ciceksi ferah güclü bi koku,Annemi hatırlatan koku,Huzur ve Güven,4
17.02.2026 15:39:39,"Okudum, onaylıyorum",16,Kadın,Gece mavisi ve krem rengi ,Gizemli ve Çekici,"Soft Amber (Yumuşak Amber): Çikolata, Vanilya","VS Bare Vanilla, MUSCENT N465 Van Powder",5,Karma,Eau de Parfum (EDP): Yoğun ve kalıcılığı yüksek olduğu için özellikle gece veya soğuk aylarda tercih edilir.,Güçlü: Bir odaya girdiğimde kokum hemen fark edilsin.,Sabah güne başlarken (Günlük / İş / Okul),İçerik kalitesi,Islak toprak kokusu,Küçükken anneannemin yaşadığı köye gittiğim tatilleri hatırlatır ,Masumiyet ve Tazelik,2
17.02.2026 15:42:54,"Okudum, onaylıyorum",19,Erkek,Mavi,Taze ve Enerjik,"Citrus (Narenciye): Limon kabuğu, Yeşil elma",Sospiro vibrato,4,Karma,Eau de Parfum (EDP): Yoğun ve kalıcılığı yüksek olduğu için özellikle gece veya soğuk aylarda tercih edilir.,Güçlü: Bir odaya girdiğimde kokum hemen fark edilsin.,"Fark etmez, benim kokum her an benimledir",Ulaşılabilir fiyat,Sospiro vibrato,Yaz esintisi,Neşe ve Enerji,3
17.02.2026 15:58:03,"Okudum, onaylıyorum",15,Erkek,Mavi ,Tatlı ve Sempatik,Water (Sucul): Deniz tuzu,Yok,3,Karma,Eau de Parfum (EDP): Yoğun ve kalıcılığı yüksek olduğu için özellikle gece veya soğuk aylarda tercih edilir.,Orta: Yanımdan geçenler hafif bir esinti duysun ama kimseyi rahatsız etmesin.,"Fark etmez, benim kokum her an benimledir",İçerik kalitesi,Lavanta notası çocukluğumu hatırlatıyor ,Ana okul dönemi çocukluğumu bana lavanta kokusu hatırlatıyor ,Özlem ve Nostalji,3
17.02.2026 16:01:54,"Okudum, onaylıyorum",17,Kadın,Koyu kırmızı,Doğal ve Duru,"Fruity (Meyveli): Şeftali, Ahududu",Yok,3,Hassas,"Eau de Toilette (EDT):Gündelik kullanıma ve dört mevsime uygun , hafif yoğunluğuyla özellikle yaz aylarında ferah hissettirir.",Orta: Yanımdan geçenler hafif bir esinti duysun ama kimseyi rahatsız etmesin.,"Fark etmez, benim kokum her an benimledir",İçerik kalitesi,"Ananas kokusu,sahil kenarındaki yolda gece vakti yürürken arkadan hafif hafif gelen ferah bir koku. ","Ananas kokusu ve deniz kokusu,geçirdiğim en güzel yaz zamanını hatırlatıyor.Çok eğlendiğim ve çok huzurlu hissettiren zamanları hatırlatıyor.",Huzur ve Güven,5
17.02.2026 16:02:17,"Okudum, onaylıyorum",20,Erkek,Mor,Zarif ve Romantik,"Woody Amber (Odunsu Amber): Köz, Reçine, Amber",JPG le male elixir,5,Karma,Eau de Parfum (EDP): Yoğun ve kalıcılığı yüksek olduğu için özellikle gece veya soğuk aylarda tercih edilir.,Güçlü: Bir odaya girdiğimde kokum hemen fark edilsin.,Tazelenmek istediğim her an (Spor sonrası veya gün içi),İçerik kalitesi,Kahve çekirdeği kokusu,Çocukluk anımı depreştiriyor,Özlem ve Nostalji,4
17.02.2026 16:02:51,"Okudum, onaylıyorum",19,Erkek,sarı,Tatlı ve Sempatik,"Soft Amber (Yumuşak Amber): Çikolata, Vanilya",yok,4,Yağlı,Eau de Parfum (EDP): Yoğun ve kalıcılığı yüksek olduğu için özellikle gece veya soğuk aylarda tercih edilir.,Orta: Yanımdan geçenler hafif bir esinti duysun ama kimseyi rahatsız etmesin.,"Fark etmez, benim kokum her an benimledir",Ulaşılabilir fiyat,yok,kurabiye kokusu,Özlem ve Nostalji,5
17.02.2026 16:03:00,"Okudum, onaylıyorum",19,Erkek,mavi,Gizemli ve Çekici,Water (Sucul): Deniz tuzu,bleu de chanel,5,Yağlı,Eau de Parfum (EDP): Yoğun ve kalıcılığı yüksek olduğu için özellikle gece veya soğuk aylarda tercih edilir.,Orta: Yanımdan geçenler hafif bir esinti duysun ama kimseyi rahatsız etmesin.,"Fark etmez, benim kokum her an benimledir",İçerik kalitesi,yağmur kokusu,eski kış zamanlarını anımsatır,Özlem ve Nostalji,2
17.02.2026 16:06:47,"Okudum, onaylıyorum",16,Kadın,Lila-beyaz,Taze ve Enerjik,"Soft Floral (Yumuşak Çiçeksi): Menekşe, gül",Yves rocher  Plein Soleil,4,Normal,Eau de Parfum (EDP): Yoğun ve kalıcılığı yüksek olduğu için özellikle gece veya soğuk aylarda tercih edilir.,Orta: Yanımdan geçenler hafif bir esinti duysun ama kimseyi rahatsız etmesin.,Tazelenmek istediğim her an (Spor sonrası veya gün içi),Refill imkanı,"Midnight bloom,odunsu koku",2023-2024,Özlem ve Nostalji,3
17.02.2026 16:30:28,"Okudum, onaylıyorum",16,Erkek,beyaz,Taze ve Enerjik,"Citrus (Narenciye): Limon kabuğu, Yeşil elma",yok,3,Normal,Eau de Parfum (EDP): Yoğun ve kalıcılığı yüksek olduğu için özellikle gece veya soğuk aylarda tercih edilir.,Orta: Yanımdan geçenler hafif bir esinti duysun ama kimseyi rahatsız etmesin.,Sabah güne başlarken (Günlük / İş / Okul),Ulaşılabilir fiyat,Bir korku anında aldığım kokuyu yine aldığımda o korku anındaki stresi hissettiriyor. Hafif yanık ve ekşi bir koku,. ,Tutku ve Heyecan,5
17.02.2026 16:58:45,"Okudum, onaylıyorum",15,Kadın,beyaz,Doğal ve Duru,"Soft Amber (Yumuşak Amber): Çikolata, Vanilya",good girl blush,5,Normal,Eau de Parfum (EDP): Yoğun ve kalıcılığı yüksek olduğu için özellikle gece veya soğuk aylarda tercih edilir.,Güçlü: Bir odaya girdiğimde kokum hemen fark edilsin.,"Fark etmez, benim kokum her an benimledir",İçerik kalitesi,-,-,Masumiyet ve Tazelik,3
17.02.2026 20:12:47,"Okudum, onaylıyorum",19,Erkek,Siyah,Gizemli ve Çekici,"Woody Amber (Odunsu Amber): Köz, Reçine, Amber",Naxos,4,Karma,"Eau de Toilette (EDT):Gündelik kullanıma ve dört mevsime uygun , hafif yoğunluğuyla özellikle yaz aylarında ferah hissettirir.",Güçlü: Bir odaya girdiğimde kokum hemen fark edilsin.,Sadece özel günlerde ve davetlerde,İçerik kalitesi,Paradise gardenin hindistan cevizi kokusu,Kızlarla bolca vakit geçirdiğim dönemler,Özlem ve Nostalji,5
17.02.2026 23:35:00,"Okudum, onaylıyorum",20,Erkek,Mavi,Güçlü ve Otoriter,"Citrus (Narenciye): Limon kabuğu, Yeşil elma",.,4,Kuru,Eau de Parfum (EDP): Yoğun ve kalıcılığı yüksek olduğu için özellikle gece veya soğuk aylarda tercih edilir.,Güçlü: Bir odaya girdiğimde kokum hemen fark edilsin.,Sabah güne başlarken (Günlük / İş / Okul),Ulaşılabilir fiyat,.,.,Tutku ve Heyecan,3
18.02.2026 14:59:18,"Okudum, onaylıyorum",22,Kadın,pembe,Taze ve Enerjik,"Soft Amber (Yumuşak Amber): Çikolata, Vanilya",Carolina Herrera Good Girl Eau de Parfum ,5,Yağlı,Eau de Parfum (EDP): Yoğun ve kalıcılığı yüksek olduğu için özellikle gece veya soğuk aylarda tercih edilir.,İz Bırakan: Ben odadan çıktıktan sonra bile kokum orada kalsın.,"Fark etmez, benim kokum her an benimledir",İçerik kalitesi,YSL black optimum ,cocukluk anilwri,Neşe ve Enerji,3
18.02.2026 15:06:30,"Okudum, onaylıyorum",20,Kadın,altın sarı,Gizemli ve Çekici,"Soft Amber (Yumuşak Amber): Çikolata, Vanilya",Victoria’s Secret Bare Vanilla,5,Kuru,Eau de Parfum (EDP): Yoğun ve kalıcılığı yüksek olduğu için özellikle gece veya soğuk aylarda tercih edilir.,Orta: Yanımdan geçenler hafif bir esinti duysun ama kimseyi rahatsız etmesin.,Sabah güne başlarken (Günlük / İş / Okul),Ulaşılabilir fiyat,"insanların teninin kokusunu genelde hiç unutmam, o insanla görüşmüyor olsam bile",ilkokul arkadaslarımın kokusunu bile hala hatırlıyorum şu an koklasam tanırım,Özlem ve Nostalji,3
18.02.2026 20:44:44,"Okudum, onaylıyorum",21,Erkek,Kahverengi,Güçlü ve Otoriter,"Dry Woods (Kuru Odunsu): Sedir ağac, Tütsü",Grand Soir ,5,Karma,Eau de Parfum (EDP): Yoğun ve kalıcılığı yüksek olduğu için özellikle gece veya soğuk aylarda tercih edilir.,İz Bırakan: Ben odadan çıktıktan sonra bile kokum orada kalsın.,"Fark etmez, benim kokum her an benimledir",İçerik kalitesi,İlk kullandığım parfüm. O zaman için oldukça freş bir kokuydu. LCW den almıştım. ,Okula özenle hazırlanırken sıktığım zamanı hatırlatıyor. ,Özlem ve Nostalji,5
18.02.2026 20:48:09,"Okudum, onaylıyorum",19,Kadın,Yeşil,Doğal ve Duru,Water (Sucul): Deniz tuzu,Yok,3,Normal,"Eau de Toilette (EDT):Gündelik kullanıma ve dört mevsime uygun , hafif yoğunluğuyla özellikle yaz aylarında ferah hissettirir.",Orta: Yanımdan geçenler hafif bir esinti duysun ama kimseyi rahatsız etmesin.,Tazelenmek istediğim her an (Spor sonrası veya gün içi),Ulaşılabilir fiyat,.,.,Neşe ve Enerji,5
19.02.2026 18:56:14,"Okudum, onaylıyorum",20,Erkek,Koyu yeşil,Tatlı ve Sempatik,"Dry Woods (Kuru Odunsu): Sedir ağac, Tütsü",Yok,1,Normal,"Eau de Toilette (EDT):Gündelik kullanıma ve dört mevsime uygun , hafif yoğunluğuyla özellikle yaz aylarında ferah hissettirir.",Orta: Yanımdan geçenler hafif bir esinti duysun ama kimseyi rahatsız etmesin.,Sabah güne başlarken (Günlük / İş / Okul),Ulaşılabilir fiyat,çimen kokusu ,Dersten çıkıp dinlenmek için ferah güneşli günlerde ve pazar sabahları paklarda alıp huzur duyduğum koku,Huzur ve Güven,2
19.02.2026 22:42:51,"Okudum, onaylıyorum",20,Kadın,Mor,Taze ve Enerjik,"Woody Amber (Odunsu Amber): Köz, Reçine, Amber",mad- bruno gold,3,Karma,Eau de Parfum (EDP): Yoğun ve kalıcılığı yüksek olduğu için özellikle gece veya soğuk aylarda tercih edilir.,Orta: Yanımdan geçenler hafif bir esinti duysun ama kimseyi rahatsız etmesin.,"Fark etmez, benim kokum her an benimledir",İçerik kalitesi,vanilya kokulu parfüm,ablamın kokusu,Özlem ve Nostalji,5
19.02.2026 22:47:23,"Okudum, onaylıyorum",19,Kadın,kırmızı,Gizemli ve Çekici,"Fruity (Meyveli): Şeftali, Ahududu",Mad c119,5,Kuru,Eau de Parfum (EDP): Yoğun ve kalıcılığı yüksek olduğu için özellikle gece veya soğuk aylarda tercih edilir.,Güçlü: Bir odaya girdiğimde kokum hemen fark edilsin.,Tazelenmek istediğim her an (Spor sonrası veya gün içi),İçerik kalitesi,mad v-109 vanilyalı,arkadaşlarımla eğlendiğim anıları hatırlatıyor,Özlem ve Nostalji,5
19.02.2026 22:52:09,"Okudum, onaylıyorum",18,Erkek,Bordo/siyah,Gizemli ve Çekici,"Dry Woods (Kuru Odunsu): Sedir ağac, Tütsü",Stronger with you,5,Normal,"Eau de Toilette (EDT):Gündelik kullanıma ve dört mevsime uygun , hafif yoğunluğuyla özellikle yaz aylarında ferah hissettirir.",İz Bırakan: Ben odadan çıktıktan sonra bile kokum orada kalsın.,"Fark etmez, benim kokum her an benimledir",Marka prestiji,Tobacco vanille / Güçlü vanilya ve odunsu,2020 dönemini ve o dönemini ve o zamanki sevgilimi,Özlem ve Nostalji,5
19.02.2026 22:54:22,"Okudum, onaylıyorum",20,Kadın,yeşil,Taze ve Enerjik,"Soft Amber (Yumuşak Amber): Çikolata, Vanilya",Victoria's secret sunkissed fleur,5,Hassas,"Eau de Toilette (EDT):Gündelik kullanıma ve dört mevsime uygun , hafif yoğunluğuyla özellikle yaz aylarında ferah hissettirir.",Orta: Yanımdan geçenler hafif bir esinti duysun ama kimseyi rahatsız etmesin.,"Fark etmez, benim kokum her an benimledir",İçerik kalitesi,Ablamın she deodorantı / Çam ağacı kokusu,Ablam sıkıyordu / Yaşadığım yerde çok fazla ağaç vardı,Huzur ve Güven,5
19.02.2026 22:58:45,"Okudum, onaylıyorum",20,Kadın,Koyu mor / siyah,Gizemli ve Çekici,"Soft Amber (Yumuşak Amber): Çikolata, Vanilya",Lancome-la vie est belle / paco rabonne - olympea onyx - vs - midnight bloom,5,Karma,Eau de Parfum (EDP): Yoğun ve kalıcılığı yüksek olduğu için özellikle gece veya soğuk aylarda tercih edilir.,İz Bırakan: Ben odadan çıktıktan sonra bile kokum orada kalsın.,"Fark etmez, benim kokum her an benimledir",İçerik kalitesi,Çikolata kokusu,Yurdumuzun yanında çikolata fabrikası olduğu için yurt odamı hatırlatıyor,Masumiyet ve Tazelik,1
19.02.2026 23:07:46,"Okudum, onaylıyorum",19,Kadın,Kırmızı,Tatlı ve Sempatik,"Soft Floral (Yumuşak Çiçeksi): Menekşe, gül",Beaulis catch it,4,Hassas,"Eau de Toilette (EDT):Gündelik kullanıma ve dört mevsime uygun , hafif yoğunluğuyla özellikle yaz aylarında ferah hissettirir.","Tene Yakın: Çok hafif olsun, sadece ben ve bana sarılanlar duysun.",Sabah güne başlarken (Günlük / İş / Okul),Ulaşılabilir fiyat,Pudra kokusu ,Anneannemi anımsatır,Özlem ve Nostalji,3
19.02.2026 23:09:21,"Okudum, onaylıyorum",20,Erkek,Lacivert,Doğal ve Duru,"Dry Woods (Kuru Odunsu): Sedir ağac, Tütsü",La male elixir,5,Normal,Eau de Parfum (EDP): Yoğun ve kalıcılığı yüksek olduğu için özellikle gece veya soğuk aylarda tercih edilir.,Orta: Yanımdan geçenler hafif bir esinti duysun ama kimseyi rahatsız etmesin.,Sabah güne başlarken (Günlük / İş / Okul),Marka prestiji,Çam,Yok,Huzur ve Güven,3
19.02.2026 23:12:12,"Okudum, onaylıyorum",20,Kadın,Lacivert,Güçlü ve Otoriter,"Soft Amber (Yumuşak Amber): Çikolata, Vanilya",Dolce gabbana devotion,5,Karma,Eau de Parfum (EDP): Yoğun ve kalıcılığı yüksek olduğu için özellikle gece veya soğuk aylarda tercih edilir.,Güçlü: Bir odaya girdiğimde kokum hemen fark edilsin.,Sabah güne başlarken (Günlük / İş / Okul),İçerik kalitesi,Zara fashionably london,erkek arkadaşımla tanışma zamanımı hatırlatıyor,Tutku ve Heyecan,5
20.02.2026 16:20:24,"Okudum, onaylıyorum",21,Erkek,kırmızı,Tatlı ve Sempatik,"Soft Floral (Yumuşak Çiçeksi): Menekşe, gül",bargello 709,3,Karma,"Eau de Toilette (EDT):Gündelik kullanıma ve dört mevsime uygun , hafif yoğunluğuyla özellikle yaz aylarında ferah hissettirir.",İz Bırakan: Ben odadan çıktıktan sonra bile kokum orada kalsın.,"Fark etmez, benim kokum her an benimledir",İçerik kalitesi,"koku tam olrak eski istanbul beyfendileri gibi hissettiren bir kokuydu. buram buram beyoğlu, suriçi gibi hissettiriyordu.","
köyümün kokusu; bana nostalji ve çocukluğumu hatırlatıyor",Özlem ve Nostalji,4
20.02.2026 20:50:53,"Okudum, onaylıyorum",19,Erkek,Yeşil,Tatlı ve Sempatik,"Citrus (Narenciye): Limon kabuğu, Yeşil elma",Bargello 385,4,Karma,"Eau de Toilette (EDT):Gündelik kullanıma ve dört mevsime uygun , hafif yoğunluğuyla özellikle yaz aylarında ferah hissettirir.",Orta: Yanımdan geçenler hafif bir esinti duysun ama kimseyi rahatsız etmesin.,Sabah güne başlarken (Günlük / İş / Okul),İçerik kalitesi,Sigaranın kokusu arkadaşlarımla olan muhabbetimi anımsatır,İlk sigaram lise hayatımı hatırlatıyor,Özlem ve Nostalji,3
20.02.2026 20:55:48,"Okudum, onaylıyorum",20,Erkek,Mavi,Taze ve Enerjik,"Green (Yeşil): Çimen, Nane",Bargello 585,1,Karma,"Eau de Toilette (EDT):Gündelik kullanıma ve dört mevsime uygun , hafif yoğunluğuyla özellikle yaz aylarında ferah hissettirir.","Tene Yakın: Çok hafif olsun, sadece ben ve bana sarılanlar duysun.",Akşam dışarı çıkarken (Buluşma / Eğlence / Sosyal Ortam),İçerik kalitesi,Sedir ağacının kokusu eski sevgilimi,Sedir ağacının kokusu bana sevgilimin hazırladığı elmalı turtayı anımsatır,Tutku ve Heyecan,3
20.02.2026 21:08:51,"Okudum, onaylıyorum",20,Erkek,siyah,Güçlü ve Otoriter,"Woody Amber (Odunsu Amber): Köz, Reçine, Amber",Bargello 575,5,Karma,"Eau de Toilette (EDT):Gündelik kullanıma ve dört mevsime uygun , hafif yoğunluğuyla özellikle yaz aylarında ferah hissettirir.",Orta: Yanımdan geçenler hafif bir esinti duysun ama kimseyi rahatsız etmesin.,"Fark etmez, benim kokum her an benimledir",İçerik kalitesi,kahve kokusu,ilk içtiğim lise hayatında kahve özlemi anımsatıyor,Özlem ve Nostalji,4
20.02.2026 23:19:39,"Okudum, onaylıyorum",25,Erkek,Gri,Gizemli ve Çekici,"Dry Woods (Kuru Odunsu): Sedir ağac, Tütsü",Zara Black edition for men,5,Karma,"Eau de Toilette (EDT):Gündelik kullanıma ve dört mevsime uygun , hafif yoğunluğuyla özellikle yaz aylarında ferah hissettirir.",Orta: Yanımdan geçenler hafif bir esinti duysun ama kimseyi rahatsız etmesin.,"Fark etmez, benim kokum her an benimledir",İçerik kalitesi,Koku almadığım için anlamlı bir sonuç yaratacak cevabım yok ::(,Berk'in cs teklifime evet dediği an <3,Özlem ve Nostalji,3
21.02.2026 04:01:01,"Okudum, onaylıyorum",25,Erkek,Siyah,Gizemli ve Çekici,"Fruity (Meyveli): Şeftali, Ahududu",Only the brave,5,Normal,Eau de Parfum (EDP): Yoğun ve kalıcılığı yüksek olduğu için özellikle gece veya soğuk aylarda tercih edilir.,"Tene Yakın: Çok hafif olsun, sadece ben ve bana sarılanlar duysun.",Sabah güne başlarken (Günlük / İş / Okul),İçerik kalitesi,Yok,Yok,Huzur ve Güven,5
21.02.2026 14:04:08,"Okudum, onaylıyorum",25,Erkek,mavi,Tatlı ve Sempatik,"Citrus (Narenciye): Limon kabuğu, Yeşil elma",black orchid,4,Normal,"Eau de Toilette (EDT):Gündelik kullanıma ve dört mevsime uygun , hafif yoğunluğuyla özellikle yaz aylarında ferah hissettirir.",Orta: Yanımdan geçenler hafif bir esinti duysun ama kimseyi rahatsız etmesin.,Sabah güne başlarken (Günlük / İş / Okul),İçerik kalitesi,poğaça kokusu,annemin yaptığı poğaça,Huzur ve Güven,4
21.02.2026 17:42:08,"Okudum, onaylıyorum",27,Erkek,Mavi,Doğal ve Duru,"Green (Yeşil): Çimen, Nane",Zara,5,Hassas,"Eau de Toilette (EDT):Gündelik kullanıma ve dört mevsime uygun , hafif yoğunluğuyla özellikle yaz aylarında ferah hissettirir.",Orta: Yanımdan geçenler hafif bir esinti duysun ama kimseyi rahatsız etmesin.,"Fark etmez, benim kokum her an benimledir",Ulaşılabilir fiyat,Eski sevgilimi her rüyamda gördüğümde gül kokusu alıyorum ,Et kokusu çocukken gittiğim etliekmek fırınını hatırlatıyor,Özlem ve Nostalji,4
21.02.2026 21:08:35,"Okudum, onaylıyorum",23,Erkek,Turuncu,Gizemli ve Çekici,"Citrus (Narenciye): Limon kabuğu, Yeşil elma",Barrels&Oils Sports kokusunu ve yasemin kokusunu çok seviyorum.,3,Karma,"Eau de Toilette (EDT):Gündelik kullanıma ve dört mevsime uygun , hafif yoğunluğuyla özellikle yaz aylarında ferah hissettirir.",Güçlü: Bir odaya girdiğimde kokum hemen fark edilsin.,Akşam dışarı çıkarken (Buluşma / Eğlence / Sosyal Ortam),Ulaşılabilir fiyat,Kış aylarında açık havada yoğunlaşan odunsu koku. ,"Çocukken Konya'nın ilçesinde bababannemin ve dedemin yaşadığı evde geceleri aldığım bu koku, beni hayaller âlemine sürüklerdi. Çocukluğumu hatırlatır. ",Özlem ve Nostalji,4
